date,value
2020-02-01,56.5
2020-03-01,54.96
2020-04-01,56.77
2020-07-01,57.25
2020-08-01,58.04
2020-09-01,59.12
2020-10-01,59.21
2020-11-01,59.99
2021-02-01,60.95
2021-03-01,62.56
2021-04-01,63.23
2021-05-01,62.64
2021-06-01,63.31
2021-10-01,62.78
2021-11-01,62.77
2021-12-01,63.37
2022-01-01,64.5
2022-04-01,64.48
2022-05-01,63.95
2022-06-01,65.03
2022-07-01,65.29
2020-01-02,65.89
2020-04-02,64.99
2020-05-02,63.74
2020-06-02,63.08
2020-07-02,63.91
2020-08-02,62.9
2020-11-02,61.95
2020-12-02,63.05
2021-01-02,63.69
2021-02-02,63.96
2021-03-02,64.97
2021-07-02,64.41
2021-08-02,65.28
2021-09-02,63.51
2021-10-02,64.01
2022-01-02,64.02
2022-02-02,63.79
2022-03-02,61.89
2022-04-02,60.89
2020-01-03,61.34
2020-04-03,58.56
2020-05-03,58.08
2020-06-03,56.88
2020-07-03,56.43
2020-08-03,56.56
2020-11-03,57.45
2020-12-03,58.28
2021-01-03,59.98
2021-02-03,59.38
2021-03-03,59.15
2021-06-03,59.36
2021-07-03,59.97
2021-08-03,58.68
2021-09-03,58.91
2021-10-03,57.14
2022-01-03,57.05
2022-02-03,54.85
2022-03-03,52.12
2022-04-03,52.82
2022-05-03,53.1
2020-01-04,54.16
2020-02-04,53.69
2020-03-04,53.37
2020-04-04,53.56
2020-05-04,55.84
2020-08-04,56.64
2020-09-04,57.88
2020-10-04,57.29
2020-11-04,55.13
2020-12-04,52.92
2021-03-04,53.22
2021-04-04,50.07
2021-05-04,47.01
2021-06-04,48.2
2021-10-04,48.08
2021-11-04,50.31
2021-12-04,50.2
2022-01-04,50.23
2022-02-04,52.63
2022-05-04,52.26
2022-06-04,51.56
2020-01-05,49.73
2020-02-05,51.62
2020-03-05,52.59
2020-06-05,56.04
2020-07-05,55.85
2020-08-05,56.62
2020-09-05,54.74
2020-10-05,55.05
2021-01-05,54.9
2021-02-05,54.74
2021-03-05,54.43
2021-04-05,55.57
2021-05-05,56.04
2021-08-05,55.51
2021-09-05,57.14
2021-10-05,56.78
2021-11-05,55.42
2021-12-05,56.87
2022-04-05,56.09
2022-05-05,56.23
2022-06-05,57
2022-07-05,57.75
2020-03-06,51.82
2020-04-06,53.94
2020-05-06,53.87
